API,OperatorName,WellName,WellNumber,Status,WellStatus,WellType,LAT,LON,County,Section,Township,Range,QTR4,QTR3,QTR2,QTR1,PM,TotalDepth,PlugBackTotalDepth,FormationName,InjTopDepth,InjBotDepth,LastMITDate,CommissionOrderNo,ReportYear,MeasurementType,ModifyDate,FluidType,ProdReportType,Packer,PackerDepth,Jan Vol,Jan PSI,Feb Vol,Feb PSI,Mar Vol,Mar PSI,Apr Vol,Apr PSI,May Vol,May PSI,Jun Vol,Jun PSI,Jul Vol,Jul PSI,Aug Vol,Aug PSI,Sep Vol,Sep PSI,Oct Vol,Oct PSI,Nov Vol,Nov PSI,Dec Vol,Dec PSI
3500300026,PHOENIX PETROCORP INC,S.E. EUREKA (TUCKER #1),21,OPEN,PA,2RIn,36.900446,-98.219252,ALFALFA,13,28N,10W,    ,C    ,SE,SE ,IM,5012,0,CHEROKEE,4921,4938,24-06-2021,133856,2021,METERED,21-01-2022,SALTWATER,FORM1012,YES,4881,0,0,0,0,140,0,348,100,522,300,380,750,0,0,380,750,0,0,0,0,0,0,0,0
3500300163,SUPERIOR PRODUCTION LLC,CHRISTENSEN,1,OPEN,AC,2RIn,36.896458,-98.179582,ALFALFA,21,28N,09W,    ,C   ,NW4,NW4 ,IM,5060,4950,NULL,4984,4994,25-08-2017,470258,2021,CALCULATED,15-02-2022,SALTWATER,FORM1012,YES,4933,900,175,900,175,900,175,900,175,900,175,900,175,900,175,900,175,900,175,900,175,900,175,900,175
3500321074,SANDRIDGE EXPLORATION & PRODUCTION LLC,VELMA,2-19,OPEN,AC,2RIn,36.888738,-98.319802,ALFALFA,19,28N,10W,C,SW4,NE4,SW4,IM,5932,4900,RED FORK,4958,4972,14-07-2017,281652,2021,METERED,17-03-2022,SALTWATER,FORM1012,NO,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321107,SUPERIOR PRODUCTION LLC,GRAY,1A,OPEN,AC,2RIn,36.892139,-98.196351,ALFALFA,20,28N,09W,    ,SE4 ,SW4 ,NW4 ,IM,4986,4900,NULL,4930,4941,25-08-2017,470257,2021,CALCULATED,15-02-2022,SALTWATER,FORM1012,YES,4881,1085,175,1085,175,1085,175,1050,175,1050,175,1050,175,1050,175,1050,175,1050,175,1050,175,1050,175,1050,175
3500321242,SUPERIOR PRODUCTION LLC,NORTH CARMEN RED FORK UNIT (GERALDINE1-3),8,OPEN,AC,2RIn,36.592341,-98.463515,ALFALFA,3,24N,12W,    ,E2    ,NE,NE ,IM,6203,5998,RED FORK,6057,6066,30-06-2020,405305,2021,CALCULATED,15-02-2022,SALTWATER,FORM1012,NO,NULL,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90,30,90
3500321328,PRIDE ENERGY COMPANY,LESLIE,A-1,OPEN,AC,2DNC,36.674104,-98.51565,ALFALFA,5,25N,12W,S2  ,S2  ,SE ,NW ,IM,7322,3010,PERMIAN,2560,2610,06-05-2021,1006450004,2021,METERED,27-01-2022,SALTWATER,FORM1012,YES,5127,159,650,35,650,210,650,110,650,194,650,150,650,237,650,155,650,95,650,134,650,92,650,47,650
3500321364,MARJO OPERATING MID-CONTINENT LLC,BURCHFIEL,15-3,OPEN,PA,TM,36.820106,-98.150807,ALFALFA,15,27N,09W,NE4,SE4,SW4,NE4,IM,5975,5974,MISENER,5900,5915,05-07-2016,433693,2021,NULL,17-08-2021,NULL,FORM1012,YES,5850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321404,SUPERIOR PRODUCTION LLC,NORTH CARMEN RED FORK UNIT (ZOA #2-34),1,OPEN,AC,2RIn,36.59666,-98.48296,ALFALFA,34,25N,12W,    ,NE ,SW ,SW ,IM,6312,6262,RED FORK,6015,6034,10-05-2021,423456,2021,CALCULATED,15-02-2022,SALTWATER,FORM1012,YES,5950,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90,45,90
3500321455,KIESTER OPERATING COMPANY,MEANS "C",1-24,OPEN,AC,2RIn,36.626706,-98.437172,ALFALFA,24,25N,12W,    ,    ,C   ,SE,IM,6262,5574,RED FORK,5894,5912,23-07-2021,521622,2021,METERED,16-06-2022,SALTWATER,FORM1012,YES,5810,10995,475,2698,475,4391,475,538,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321496,KIESTER OPERATING COMPANY,LSB MCCRADY (MCCRADY),4,OPEN,AC,2RIn,36.645656,-98.42664,ALFALFA,18,25N,11W,C    ,SW,SE ,NW ,IM,6000,5710,RED FORK,5753,5779,16-07-2020,521370,2021,METERED,16-06-2022,SALTWATER,FORM1012,YES,5710,23271,450,17829,450,18754,450,16358,450,18224,450,17366,450,16277,450,14612,450,11661,450,15641,450,14809,450,16009,450
3500321537,C & D SUPPLY LLC,REITZ,1,OPEN,AC,2DNC,36.835198,-98.361492,ALFALFA,10,27N,11W,NULL,C,SE,NE,IM,5850,5175,MISSISSIPPI,5207,5220,17-05-2019,383569,2021,NULL,11-01-2022,NULL,FORM1012,YES,5175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321553,UNIT PETROLEUM COMPANY,DOROTHY,1,OPEN,AC,2RIn,36.825067,-98.299746,ALFALFA,17,27N,10W,W2  ,NE ,NE ,NW ,IM,5830,5680,MISENER,5707,5742,03-02-2021,385383,2021,METERED,11-04-2022,SALTWATER,FORM1012,YES,6926,29368,60,23090,60,23341,60,24988,60,26020,60,22858,60,23639,60,25229,60,25473,60,22978,60,25955,60,26292,60
3500321561,UNIT PETROLEUM COMPANY,MIKE ,1-8,OPEN,AC,2RIn,36.827793,-98.296036,ALFALFA,8,27N,10W,    ,C    ,SW,SE ,IM,5820,5672,MISENER,5710,5733,17-12-2020,385384,2021,METERED,11-04-2022,SALTWATER,FORM1012,YES,5672,32177,60,25029,60,25245,60,26900,60,28088,60,24766,60,25938,60,27476,60,27511,60,24253,60,28115,60,28489,60
3500321748,SAND CREEK OPERATING LLC,KRAFT #1-13,1,OPEN,AC,2DCm,36.901215,-98.446798,ALFALFA,13,28N,12W,SW ,NE,SW ,SW ,IM,6400,6400,ARBUCKLE,5960,6400,01-02-2022,1401960007,2021,NULL,11-08-2021,NULL,FORM1012C,YES,4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321748,SAND CREEK OPERATING LLC,KRAFT #1-13,1,OPEN,AC,2DCm,36.901215,-98.446798,ALFALFA,13,28N,12W,SW ,NE,SW ,SW ,IM,6400,6400,ARBUCKLE,5960,6400,01-02-2022,1401960007,2021,NULL,09-02-2022,NULL,FORM1012C,YES,5940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321802,MT ENERGY LLC,NE CHEROKEE UNIT (NECU),16A,OPEN,AC,2RIn,36.802556,-98.287052,ALFALFA,21,27N,10W,S2,N2,NW,SW,IM,5300,5270,CHEROKEE,5140,5175,24-03-2021,1007540008,2021,CALCULATED,26-04-2022,SALTWATER,FORM1012,YES,5110,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500,19714,1500
3500321822,NEILSON INC,BETTY JO,2,CLOSED,AC,2DCm,36.787367,-98.53594,ALFALFA,30,27N,12W,N2  ,S2  ,N2  ,SW,IM,5700,4922,TONKAWA,4558,4611,20-01-2022,540384,2021,CALCULATED,27-07-2021,SALTWATER,FORM1012C,YES,4500,21203,0,16812,0,24306,0,18072,0,25088,0,23814,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321822,NEILSON INC,BETTY JO,2,CLOSED,AC,2DCm,36.787367,-98.53594,ALFALFA,30,27N,12W,N2  ,S2  ,N2  ,SW,IM,5700,4922,TONKAWA,4558,4611,20-01-2022,540384,2021,CALCULATED,19-04-2022,SALTWATER,FORM1012C,YES,4500,0,0,0,0,0,0,0,0,0,0,0,0,26682,0,26222,0,24873,0,30622,0,25951,0,26571,0
3500321832,ATCHLEY RESOURCES INC,MILAM                         ,2-32  ,OPEN,AC,2DNC,36.864674,-98.301659,ALFALFA,32,28N,10W,SW4,NW4,SE4,NW4,IM,5700,4480,COTTAGE GROVE,4440,4474,21-07-2017,1204110191,2021,METERED,08-02-2022,SALTWATER,FORM1012,YES,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321840,AMPLIFY OKLAHOMA OPERATING LLC,ALFALFA SWD ,1,OPEN,AC,2DNC,36.621854,-98.173176,ALFALFA,28,25N,09W,NE,NE,NE,NW,IM,10487,6470,1ST WILCOX|2ND WILCOX|ARBUCKLE,6500,8700,26-05-2022,527050,2021,METERED,01-02-2022,SALTWATER,FORM1012,YES,6453,202290,0,80640,0,187060,0,215640,0,199850,0,111428,0,141787,0,218960,0,206360,0,198580,0,186180,0,182840,0
3500321848,BCE-MACH LLC,HDW SWD,1-2,OPEN,AC,2DNC,36.592502,-98.137936,ALFALFA,2,24N,09W,SW4,NE4,NW4,NW4,IM,10120,10120,ARBUCKLE,7150,8749,30-04-2018,536661,2021,METERED,24-01-2022,SALTWATER,FORM1012,YES,7100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
3500321880,AMPLIFY OKLAHOMA OPERATING LLC,LEAMON                        ,1     ,OPEN,AC,2DNC,36.703106,-98.51959,ALFALFA,29,26N,12W,SW  ,SE  ,SW  ,NW  ,IM,6950,6730,HUNTON,6780,6804,09-06-2022,1609310122,2021,METERED,01-02-2022,SALTWATER,FORM1012,YES,6730,0,0,3008,0,8616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321897,BCE-MACH LLC,GIDEON SWD,1-32,OPEN,AC,2DNC,36.693246,-98.184626,ALFALFA,32,26N,09W,NE,SW,NE,NE,IM,8125,6675,ARBUCKLE,6725,8125,24-05-2019,556249,2021,METERED,24-01-2022,SALTWATER,FORM1012,YES,6675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3500321931,BCE-MACH LLC,DUTCH HARBOR SWD,1-14,OPEN,AC,2DNC,36.638051,-98.451166,ALFALFA,14,25N,12W,SE4,SE4,SE4,SE4,IM,10112,7255,SIMPSON,7040,7150,26-02-2018,1607050002,2021,METERED,24-01-2022,SALTWATER,FORM1012,YES,6970,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
