Month,Rig_count,Oil_prod_per_rig,total_oil_prod,Gas_prod_per_rig,total_gas_prod,total_gas_oil_ratio
2007-01-01,176,20.5851266,126398.038,839.673011,40312.3467,31.89317440196342
2007-02-01,180,21.4412435,134177.221,846.669356,40533.2471,30.208739455112134
2007-03-01,166,22.2031173,137515.513,852.065758,41653.957,30.290369494531138
2007-04-01,157,23.0378353,141456.801,856.971098,40992.3383,28.978697390449256
2007-05-01,170,23.8508303,144198.496,860.991992,41872.1829,29.037877690485757
2007-06-01,181,24.7296554,137229.231,864.954572,41948.2296,30.567998737819934
2007-07-01,166,25.6403778,139315.41,869.205159,41772.0151,29.983772146957755
2007-08-01,173,26.6272568,141149.361,874.33602,41731.736099999995,29.565657119765493
2007-09-01,168,27.5462051,147539.141,877.891436,42152.113600000004,28.57012269035781
2007-10-01,174,28.2996744,144053.177,876.969599,42432.31509999999,29.456007832440932
2007-11-01,182,29.0159924,144871.424,874.510144,42779.3496,29.529184168162796
2007-12-01,182,29.8837604,139091.465,873.933504,41663.8925,29.954312796978595
2008-01-01,180,30.9863364,151866.542,880.506934,41978.4664,27.641681865647538
2008-02-01,187,31.9174031,148759.886,890.608236,42512.561,28.577973634639648
2008-03-01,190,32.3503613,152609.082,895.401348,42144.4703,27.6159647562784
2008-04-01,190,32.4517181,155398.873,896.976398,43365.26730000001,27.90577979288177
2008-05-01,189,32.4144764,152885.865,898.16191,43325.6087,28.338531295878795
2008-06-01,188,32.1777075,150671.658,894.789286,43208.6483,28.67735636120763
2008-07-01,194,31.7778079,155148.919,889.285681,43361.249,27.948147676104664
2008-08-01,204,31.5072782,146898.049,888.245489,42930.027,29.224368391713632
2008-09-01,206,31.6274715,151795.077,897.233234,42820.7893,28.209603464280992
2008-10-01,197,32.2067052,147085.276,914.915767,41902.8951,28.488844185872143
2008-11-01,181,33.3181447,145998.951,938.74433,42816.7676,29.326763861474593
2008-12-01,150,35.0013757,145144.364,967.397189,42884.429599999996,29.54605223252072
2009-01-01,128,37.5546832,145067.523,1006.37107,42899.2941,29.57194912606318
2009-02-01,105,41.0446762,155375.425,1055.5531,43776.735700000005,28.17481316623913
2009-03-01,84,44.6453598,150290.406,1102.5404,41807.4919,27.81780488369963
2009-04-01,72,48.8610091,148981.022,1148.85075,41965.7036,28.168489540902737
2009-05-01,62,53.0357884,151814.01,1178.12511,42745.7638,28.156666041559667
2009-06-01,57,57.1749142,151550.2,1186.8368,42497.8646,28.042103936517403
2009-07-01,59,61.0065627,142321.631,1177.84138,42172.249,29.63165100321258
2009-08-01,63,65.3687219,142145.114,1175.64673,41611.894799999995,29.2742350609392
2009-09-01,64,67.7487196,145964.988,1147.35669,41421.7055,28.377836402795438
2009-10-01,69,67.6678879,144727.92,1159.35846,41048.674100000004,28.362650482367187
2009-11-01,76,68.6988363,144374.181,1174.20637,40726.9893,28.20933010175829
2009-12-01,93,69.5781248,139129.579,1188.91772,38585.4925,27.733493321359077
2010-01-01,100,70.1563363,135281.176,1208.47888,38521.38220000001,28.4750497733698
2010-02-01,107,70.1021727,146151.402,1240.70125,39352.2,26.925639755409257
2010-03-01,113,69.5852484,154276.514,1278.58153,40013.270899999996,25.936074041704106
2010-04-01,122,69.5994477,157412.656,1320.57341,40245.152,25.56665583483961
2010-05-01,131,70.7896981,158132.552,1348.96867,40804.4503,25.80395357181107
2010-06-01,137,72.7485636,156620.399,1360.00082,41439.268,26.458410439881458
2010-07-01,145,74.3140578,159137.252,1349.11536,42184.8641,26.508478417108773
2010-08-01,151,75.1309679,163964.023,1324.35192,41599.259999999995,25.370968117804722
2010-09-01,158,75.6075711,166597.419,1308.41708,43441.9053,26.07597738353918
2010-10-01,174,76.4947782,172975.197,1287.76535,42920.31190000001,24.812986280339377
2010-11-01,174,78.6887335,185939.952,1276.34166,44377.322199999995,23.866480400080988
2010-12-01,184,81.2770273,183544.939,1265.74611,43436.859000000004,23.665517140736853
2011-01-01,179,83.607191,185368.014,1258.88503,42356.7235,22.85007137207609
2011-02-01,175,85.5191129,168862.704,1258.32028,40785.7767,24.153217811791052
2011-03-01,181,87.402866,206025.684,1259.70268,43003.874599999996,20.873064835935697
2011-04-01,195,90.2727716,208367.446,1260.05731,44941.2195,21.568253756875247
2011-05-01,196,93.8123774,211569.582,1254.29596,44783.0977,21.167077647296196
2011-06-01,198,97.5092497,213589.687,1240.11029,43594.1463,20.410229965831636
2011-07-01,203,100.104362,212664.72,1213.33898,43898.2337,20.641991628888892
2011-08-01,215,101.481703,218457.23,1171.61666,44565.85969999999,20.400267686265178
2011-09-01,215,101.877546,225426.019,1123.0083,44936.624599999996,19.934089595930804
2011-10-01,217,101.775692,239259.053,1079.1359,44873.5475,18.755214039905105
2011-11-01,206,102.020737,243950.199,1044.5788,45967.62,18.843034434253525
2011-12-01,207,102.634525,240564.284,1019.61553,45615.2983,18.96179164318507
2012-01-01,216,103.441446,255529.726,1003.81148,46295.4333,18.117435503374665
2012-02-01,225,104.686558,257462.204,1000.58999,46991.086200000005,18.251644501575075
2012-03-01,226,106.535229,254145.83,1006.72959,45021.746399999996,17.71492626890632
2012-04-01,224,110.011525,266962.321,1023.83061,48029.335399999996,17.991054025934993
2012-05-01,226,115.468925,274707.155,1043.0564,48000.797000000006,17.473442582884307
2012-06-01,223,123.205127,271220.747,1061.64845,47482.9378,17.50711858337298
2012-07-01,227,131.213591,287352.513,1074.9055,47835.8416,16.64709353002944
2012-08-01,210,138.644487,295308.884,1084.33449,50342.6645,17.047460211186873
2012-09-01,198,144.142416,303716.534,1089.59619,49926.361699999994,16.438473415477606
2012-10-01,196,147.715178,322702.796,1088.89009,49475.2288,15.331515379866744
2012-11-01,195,150.854184,324658.826,1085.62561,49792.9157,15.33699739923288
2012-12-01,197,154.157611,313919.09,1086.68802,50194.4519,15.98961436209566
2013-01-01,202,157.017941,328618.837,1095.31271,50918.812900000004,15.49479432306554
2013-02-01,211,158.736013,301901.465,1108.35052,49299.809400000006,16.32976819108844
2013-03-01,206,159.681746,339901.971,1122.86975,50105.302500000005,14.741103840201031
2013-04-01,208,161.643629,354592.628,1142.36028,51744.8663,14.592764263559364
2013-05-01,214,165.127769,356091.587,1158.95822,53411.059199999996,14.999247707584846
2013-06-01,209,169.640424,356420.637,1174.8335,52173.4779,14.638175370299898
2013-07-01,206,172.912591,346040.475,1188.59001,53563.969000000005,15.479105153811851
2013-08-01,206,176.679641,372608.652,1214.0079,54300.70530000001,14.573119815800736
2013-09-01,202,174.457228,377319.059,1207.60997,53190.83440000001,14.097044167599284
2013-10-01,215,170.525843,385228.787,1172.44368,54033.4088,14.026316470477061
2013-11-01,208,167.788846,362090.872,1146.63707,54185.5407,14.964624874608827
